metric,mean,sd,median,q025,q975
delta_bias,-0.005005115821842394,0.023391595400969033,-0.007111734656512651,-0.04984482484828424,0.04487280906584355
delta_rmse,0.19667629694970173,0.01588892681188022,0.19844468860708653,0.16961427926310874,0.2279982003070135
delta_sign_accuracy,0.9437425,0.014867956485358205,0.944,0.9126,0.9701687499999999
delta_delta_bias,-9.688840334158256e-05,0.016077519685511167,0.0016366253802152322,-0.031067923931698167,0.027127928700968168
delta_delta_rmse,0.2763914312676881,0.022562073812992762,0.2774234393552111,0.23989001429137366,0.3223352312890346
delta_delta_sign_accuracy,0.8293964597327608,0.02228872144694502,0.831288319022645,0.7846453275109309,0.8707808812709643
y0_bias,0.005280674826480908,0.02180202473913613,0.007051210399695531,-0.03849062439156208,0.04915157228107124
y0_rmse,0.25518583706874925,0.022139286973476852,0.25676943482045156,0.21291329407302262,0.2991569680382881
yij_bias,0.00027555900463851335,0.00576763373251959,0.0005096199536505552,-0.01054137974525667,0.011787688443284322
yij_rmse,0.2047729175036851,0.01565294744977847,0.20612466791226308,0.17924859570113078,0.23459958458135877
sigma_g2_hat,0.15707756300288403,0.021398351250869897,0.15672028145872785,0.11729372107160477,0.2003260210116961
sigma_e2_hat,0.10239124690834034,0.002499294289874321,0.10224653111576366,0.0982577523268547,0.10768484359544989
