metric,mean,sd,median,q025,q975
delta_missing_bias,-0.004628960664812658,0.022985557158484125,-0.006827886485382173,-0.047902650931446286,0.03922714252668061
delta_missing_rmse,0.21305770687329365,0.015823632002885852,0.21210980748235567,0.18395331024059977,0.24326976885782603
delta_missing_sign_accuracy,0.9408583333333332,0.015171325643241872,0.9408333333333333,0.91325,0.9700416666666666
delta_delta_missing_bias,-0.00012619604651861716,0.01636098546240327,0.001289741474778003,-0.029609492330457204,0.028550865222657328
delta_delta_missing_rmse,0.29487597036921426,0.021598268771077806,0.2935796580468474,0.2549902687963862,0.33577785588972364
delta_delta_missing_sign_accuracy,0.8208963595761191,0.021805597226600706,0.8198388237702638,0.7769030698269644,0.8617492909498443
delta_observed_bias,-0.00512420970533368,0.022785618487034292,-0.007676044990482689,-0.04597790669481871,0.04362646016391076
delta_observed_rmse,0.20480704662524596,0.014802480940918733,0.20608278391787993,0.1781332495678813,0.23141782250428844
delta_observed_sign_accuracy,0.9414964285714285,0.015374348142541877,0.9421428571428572,0.9085357142857142,0.9680446428571429
delta_delta_observed_bias,0.00014540827358122983,0.016364929710830287,0.0007470887277816823,-0.028522500296091612,0.027384381122961387
delta_delta_observed_rmse,0.2880226132470398,0.020974556876359587,0.2889199451734411,0.25059907427334477,0.32753464799763693
delta_delta_observed_sign_accuracy,0.8233096013922809,0.02129620741131787,0.8224916246581435,0.7804868346256303,0.8601701344835971
sigma_g2_hat,0.15714248801687725,0.021899406878149865,0.15629325445870143,0.1185284012806023,0.2039523610509195
sigma_e2_hat,0.10256356915628456,0.002980166415606744,0.1024687596005732,0.0971746435424066,0.10845042882170874
realized_missing_pplus_fraction,0.3,0.0,0.3,0.3,0.3
