metric,mean,sd,median,q025,q975
y0_hidden_bias,0.005440256496841473,0.057559802615704245,0.0016684518776968638,-0.11029225508929892,0.12205627957745714
y0_hidden_rmse,0.34031096124005805,0.04886995325556232,0.34075301505730876,0.2587283813636257,0.42623100620848514
delta_hidden_p0_bias,-0.0028741506130390546,0.054825589539544195,-0.010273054903598765,-0.11135299038373137,0.09623794966631227
delta_hidden_p0_rmse,0.2939453793456689,0.043958220831490605,0.2907060024920859,0.21503764996956404,0.37777328502784085
delta_hidden_p0_sign_accuracy,0.9095250000000001,0.03125603308766331,0.9141666666666667,0.8465833333333334,0.9596041666666666
delta_delta_hidden_p0_bias,0.0006269760087429245,0.026895755534975477,0.0015416182277814047,-0.05430775336922469,0.05000637564213629
delta_delta_hidden_p0_rmse,0.3780579154793381,0.04530111181249469,0.37263486765164444,0.303586728167622,0.4740843159669983
delta_delta_hidden_p0_sign_accuracy,0.7709006272111104,0.03692412248170865,0.7736252227582843,0.6862889449489431,0.8330066926389785
y0_observed_bias,-0.0027266842274271054,0.030848027524226558,-0.0014292145052713988,-0.06530809498742812,0.0600411659422576
y0_observed_rmse,0.28052012908794155,0.02254375429261162,0.27877805844412,0.24297937205375908,0.3279114362437216
delta_observed_p0_bias,0.0008435692274466191,0.029438122269144208,0.00013149226481485324,-0.05325610712337581,0.06336589234447224
delta_observed_p0_rmse,0.2289389659206785,0.017262387555877706,0.22882186520167846,0.19906701818387748,0.26431254188114955
delta_observed_p0_sign_accuracy,0.9317214285714286,0.019447730823376797,0.9325,0.8933482142857142,0.9694821428571427
delta_delta_observed_p0_bias,-0.0001905833282760883,0.01988148414461947,0.0009347259205454937,-0.04600158037551774,0.034550553063392705
delta_delta_observed_p0_rmse,0.3218117336136008,0.024827862933247298,0.3199068120232498,0.2794650210875352,0.3739443346573576
delta_delta_observed_p0_sign_accuracy,0.797598129051136,0.024601225415774086,0.7959549004934026,0.7490986330162218,0.8462243350856469
sigma_g2_hat,0.15994290326259522,0.020358332566236582,0.15982306671163718,0.12260594996167663,0.20239667030666655
sigma_e2_hat,0.10226008359403853,0.002356215743740816,0.10228529651952789,0.09831608371723206,0.10697959548141953
realized_missing_p0_fraction,0.3,0.0,0.3,0.3,0.3
