metric,mean,sd,median,q025,q975
delta_realized_bias,0.0011143235833359758,0.02474838206644073,0.0008688565646924407,-0.046475466719037364,0.047149637071287415
delta_realized_rmse,0.20275601193045534,0.014289570327914709,0.2032789426307206,0.17823636141223956,0.23114071660516133
delta_realized_sign_accuracy,0.9382174999999999,0.01362339115698296,0.9375,0.9089875,0.96323125
delta_fixed_bias,0.0011143235833366183,0.024748382066439326,0.0008688565646985793,-0.04647546671903857,0.047149637071282315
delta_fixed_rmse,0.2296367686344337,0.01272276302624896,0.23076197147332891,0.20568242263838749,0.2544249928338953
delta_fixed_sign_accuracy,0.9315875,0.01662032857586447,0.932375,0.8948375000000001,0.9608
delta_delta_realized_bias,0.0004190201164857705,0.01417911606351282,-0.00013464328988987474,-0.023820566674573752,0.0325472861910006
delta_delta_realized_rmse,0.2848781754085863,0.020705637304951625,0.2853465611459073,0.25086331951926255,0.32669670577536764
delta_delta_realized_sign_accuracy,0.8074438190954774,0.01807906176576749,0.8063668341708543,0.7764847989949749,0.8452623743718592
delta_delta_fixed_bias,0.0019951374493887538,0.016291793785985054,-8.606729996497249e-05,-0.024486376388081894,0.03666197801773321
delta_delta_fixed_rmse,0.32323832504050903,0.018448119820074396,0.3235562148191738,0.28982480784990716,0.3598193067347477
delta_delta_fixed_sign_accuracy,0.7648258291457286,0.01873954217125587,0.7642022613065327,0.734493216080402,0.8028892587939698
yij_realized_rmse,0.21020138300536462,0.017098093631731894,0.21080599070497635,0.18048712218553514,0.2428945396996684
yij_fixed_rmse,0.23877851637393765,0.016394964401629866,0.23967479644418477,0.20833471619498292,0.26984811690138305
sigma_g2_realized_hat,0.1626195285550157,0.02128233763009792,0.1578716427617713,0.13012852088413315,0.21036610547941653
sigma_e2_realized_hat,0.10206709179680486,0.002239770482844822,0.10194329904203842,0.09785798547331727,0.10639791413299378
sigma_g2_fixed_hat,0.1793608687747989,0.02446283444435591,0.17638422257473563,0.13687670455517825,0.22602312174363756
sigma_e2_fixed_hat,0.10646292963214415,0.002132553500047263,0.1066359639575413,0.10282523373927063,0.11038981169543507
