metric,mean,sd,median,q025,q975
weak_delta_all_bias,0.0008892296669682166,0.02330278013034542,-0.003109411436157307,-0.042720336203832115,0.0431184153217814
weak_delta_all_rmse,0.20601559966353705,0.013125919007227569,0.2072558643534769,0.18042374261846328,0.22948399722386706
weak_delta_all_sign_accuracy,0.944125,0.015811887389817918,0.943125,0.91175,0.9721124999999999
strong_delta_all_bias,0.0008399209589998035,0.02325105476154979,-0.002156102688578301,-0.045566315780327264,0.04733694178294434
strong_delta_all_rmse,0.2073119092525549,0.013177276752263165,0.2079888265644511,0.1840866791002551,0.23418970755458005
strong_delta_all_sign_accuracy,0.9438025000000002,0.01567823939913425,0.942625,0.91334375,0.9722625
weak_delta_delta_all_bias,-0.000561378151914598,0.015066259802264713,0.0003127479459413937,-0.03341327805538584,0.028911005086363593
weak_delta_delta_all_rmse,0.28967507418565647,0.01868084417781421,0.29053648453107606,0.25453961464600716,0.3237952528311326
weak_delta_delta_all_sign_accuracy,0.8155494608925948,0.022406220667137818,0.8181190254992502,0.7651469371329909,0.8519357876973687
strong_delta_delta_all_bias,-0.0002539905557229979,0.014550933686408486,0.0013633980597583177,-0.030494501108835247,0.02788671292279111
strong_delta_delta_all_rmse,0.2915413754856557,0.018696599281096182,0.29155014296919257,0.25632472081588503,0.32894182394873467
strong_delta_delta_all_sign_accuracy,0.8148762898286974,0.021551987748127593,0.8158931153353464,0.7646642571855294,0.8500288005147141
weak_delta_withheld_rmse,0.20590672597471749,0.013509056780018213,0.20565513454868473,0.1814774937300753,0.23297795884090822
strong_delta_withheld_rmse,0.21026933604254683,0.015081847523861809,0.2089258790650691,0.18337403854337772,0.2453178445585271
weak_delta_delta_withheld_rmse,0.2878469580627956,0.01885100517098693,0.2873790658793416,0.2537579013115918,0.3250194598178141
strong_delta_delta_withheld_rmse,0.2937482363102604,0.02025985542638221,0.2941130944674551,0.2569374616296074,0.33945442239491436
weak_association_correlation,0.0007996162259329127,0.009975876062621942,0.00083378320992003,-0.019137590030848226,0.019886452816394933
strong_association_correlation,0.3964707383259946,0.02488725239883237,0.39634710135996865,0.3408874489810913,0.430539164571023
weak_mean_distance,1.1059454967740752,0.017266973340670785,1.106513153692286,1.0734295812728851,1.1380605833081907
strong_mean_distance,0.7721251023084829,0.014922354246949704,0.7718531520031355,0.7467913322069528,0.8005202356404427
weak_sigma_g2_hat,0.16145226119133352,0.020260845420012483,0.15993448631682067,0.13043583946117995,0.19800040538252822
strong_sigma_g2_hat,0.1612680433079034,0.021032226468970835,0.15947210015002777,0.12606881412095686,0.20125046381963274
weak_sigma_e2_hat,0.10234670481575678,0.0028207808599682383,0.10210373116916016,0.09741527514037965,0.10797583807572364
strong_sigma_e2_hat,0.10236135506818428,0.002984543576923403,0.10210833494642069,0.09672448874277949,0.10733041349094467
