metric,mean,sd,median,q025,q975
well_delta_bias,0.00019717210255516904,0.02398687363023594,-0.001584170988054007,-0.04108568019990294,0.053588186176803596
well_delta_rmse,0.19285802917861677,0.020346835369556473,0.19006096375879078,0.16272335206648525,0.24249674707619337
well_delta_sign_accuracy,0.9214,0.026400948865715052,0.9266666666666666,0.8631666666666666,0.9633333333333334
poor_delta_bias,0.004481102056359128,0.04631911679771176,0.00614970812826391,-0.0881366840821807,0.089217597657225
poor_delta_rmse,0.23644299182923487,0.03227020084296985,0.2317819403052812,0.18531678708910188,0.3129070079280806
poor_delta_sign_accuracy,0.9415333333333333,0.0337895380909469,0.9433333333333334,0.8664999999999999,0.9850833333333333
well_delta_delta_bias,0.0003720165533832991,0.011590662594551422,0.0016263008621405766,-0.02596203800722998,0.02109699968586008
well_delta_delta_rmse,0.2712112519842379,0.027506315676997385,0.26604153547464154,0.22929440796543205,0.33534429522767406
well_delta_delta_sign_accuracy,0.8339672410665938,0.02767025045561507,0.835569625356077,0.7712396092872811,0.8798346410390948
poor_delta_delta_bias,0.00427776504542589,0.03875596032776041,0.006741563611709649,-0.07172937053987823,0.07782693268181526
poor_delta_delta_rmse,0.3226765113313514,0.030613797067086758,0.3167022746427026,0.27223417631719593,0.39231330524093144
poor_delta_delta_sign_accuracy,0.8046400056555485,0.029064955745313027,0.80597043123467,0.7564921707806829,0.8481970555977421
delta_rmse_ratio_poor_over_well,1.2346588294738432,0.18353649259202104,1.2233559427966683,0.9385972656805989,1.5577076568941877
delta_delta_rmse_ratio_poor_over_well,1.1962496597136931,0.11892631823751337,1.1923351639833593,1.0094401415264962,1.4172610843973865
well_support_distance_mean,0.224570919751339,0.06702171065201341,0.20815988836053465,0.12486417058613612,0.34820558590080297
poor_support_distance_mean,1.117683406063693,0.02397800509223797,1.1179856524349927,1.0722545119889275,1.1672550396139176
sigma_g2_hat,0.15892033175005674,0.01894778849357945,0.1581902386137143,0.12617612448088855,0.2007911115275981
sigma_e2_hat,0.10282860744207778,0.0031583071635112336,0.10265747641379727,0.09635136607356189,0.10930707525273894
mask_attempt,1.06,0.27779797906341425,1.0,1.0,2.0
min_Pplus_per_pathogen,2.43,1.0660509586622238,2.0,1.0,4.5249999999999915
min_pathogens_per_plasmid,107.96,11.887452004172935,110.0,79.0,122.52499999999999
